,opportunity_id,title,hits,summary,category_id,category_desc,org_title
0,5137,Health Insurance Claims Manager,119,"Position entails completing mental health claim forms monthly, tracking payments and interfacing with insurance companies regarding payments, etc.",2.0,Helping Neighbors in Need,Institute For Human Identity
1,5008,Web designer,22,Build a website for an Afghan business,1.0,Strengthening Communities,Bpeace
2,5685,Stage Design,121,Helping children 6-12 design a stage for a December 3 production.,1.0,Strengthening Communities,The Neighborhood Work Play Kids Theater
3,5210,Graphic Designer ,239,To design outdoor signs and promotional flyers.,1.0,Strengthening Communities,"Dorchester Senior Citizens Center, Inc."
4,5275,Arts Volunteer Opportunity,650,"Arts management, creative writing and fine art.",1.0,Strengthening Communities,Hearts and Minds
6,5049,Museum Visitor Services Volunteer,341,The Museum Visitor Services volunteer greets visitors to the museum and provides assistance as needed.,1.0,Strengthening Communities,The Jewish Museum
7,5465,Donate School Supplies to Kids in the Bronx,212,Help kids from low-income families start the school year on a positive note!,2.0,Helping Neighbors in Need,Part of the Solution (POTS)
8,4995,JASA Throgs Neck Computer Volunteer,140,Help teach basic computer skills to seniors,2.0,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA)
9,5749,Staten Island: Yoga Instructor for Shape Up New York!,38,NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at Greenbelt Recreation Center in Staten Island.,5.0,Health,New York City Department of Parks & Recreation
10,5744,Special Events Assistant,65,"Jewish Home Lifecare is seeking volunteers to assist with event set-up and transport of residents to special events activiteis on holidays, weekends, and during evenings",2.0,Helping Neighbors in Need,"Jewish Home Lifecare, Manhattan Division"
11,5148,Row New York Afterschool Volunteer Tutor for Middle School,44,"Volunteer your time to work alongside an all-girls, middle school rowing team, helping them succeed in academics during after-school time.",3.0,Education,Up2Us
12,5260,Computer Teacher,272,"Teacher of Basic Computer Skills such as browsing, MS word, Excel, etc.",2.0,Helping Neighbors in Need,Greater Chinatown Community Association
13,5510,Garden Crew,173,Help care for our vegetable garden beds where all our produce will be donated to local food pantries.,4.0,Environment,Friends of Van Cortlandt Park
14,5414,Crowdfunding for Professionals,68,"Crowdfunding is people pooling their money together, usually via the Internet, to support an idea or effort initiated by a person or organization. Crowdfunders can build up and nurture a community of like-minded individuals who genuinely want to see one another succeed.",1.0,Strengthening Communities,Catchafire
15,5455,Vision and Mission Analysis for Professionals,73,"A vision and mission analysis helps an organization identify how it wants to change the world, who it wants to serve, and how it will accomplish its goals. Organizations often revise their vision, mission, and aspirations at strategic milestones such as new leadership.",1.0,Strengthening Communities,Catchafire
16,5087,Make a difference in a young person's life:  Become a Middle School Mentor Today!,4192,"Work in a supported mentoring program with middle school students in Brooklyn, 3 days per week during the school day.  Individuals interested in a career in teaching are encouraged to apply.",3.0,Education,Counseling in Schools
17,5662,Beach Clean Up,576,Lend your hands for the environment. Help keep New York coasts clean and free of debris. Celebrate the earth.,4.0,Environment,"Artichoke Dance Company, Inc."
19,4959,Outreach and Marketing Assistant,220,"NIP is looking for a person who would like to assist our Director of Communications and Community Outreach in informing the community of the availability of our services by communicating directly with patients and with referal sources through marketing, media and special events.",1.0,Strengthening Communities,National Institute for the Psychotherapies
20,5778,Thanksgiving Feeding of the Needy 2011,59,Volunteers to pack boxes of Turkey Dinners on Nov.22,1.0,Strengthening Communities,The Dream Big Foundation
21,5525,Join the 2011/2012 Penny Harvest Leader Pin Volunteer Day!,281,"Be a part of the 2011/2012 Penny Harvest!   Join us and hundreds of amazing volunteers to make Penny Harvest Leader Pin. The pins -- made out of pennies -- will be given to 30,000 Penny Harvest Leaders across the country and will inspire the 2011/2012 Penny Harvest campaign.",3.0,Education,Common Cents New York
22,5051,Museum Membership Department Volunteer,312,This position involves membership recruitment and and encouraging greater membership support for the Museum.,1.0,Strengthening Communities,The Jewish Museum
23,5036,Bowling Fun at Harlem Lanes ,12,Please join us for a bowling event with the PAL kids! The group consists of children ranging from 9-13 years. We will have 2 hours of some 'healthy competition' and then grab some pizza afterwards. It's will be a fun day for all! For volunteers who wish to participate in bowling the cost is $13.50.,1.0,Strengthening Communities,Street Project
24,5222,Bike New York Volunteer,550,"Bike New York is looking for intern to help with event organization, and behind the scenes work.",5.0,Health,Bike New York
25,5073,Walkathon Feasibility Analyst,118,":  Big Apple Greeter is looking for an experienced volunteer to perform a feasibility study to determine whether a walkathon is right for us.  This person will work under the guidance of the Executive Director, the Development Director, and the Director of Volunteers and Programs.",1.0,Strengthening Communities,Big Apple Greeter
26,4970,Fashion Workshop Volunteer,392,Girls Inc. seeks a volunteer to support a fashion workshop for high school girls at The Urban Assembly Institute of Math and Science for Young Women in Downtown Brooklyn.,3.0,Education,Girls Incorporated Of New York City
27,5056,Queens Stop 'N' Swap,135,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",4.0,Environment,Office of Recycling Outreach and Education
28,5555,Fundraising for ResoNations 2011,127,Fundraising for ResoNations 2011: An International Telematic Music Concert for Peace - United Nations/Nairobi. Telematic music is real-time performance via the internet. Concert for International Year for People of African Descent declared by UN High Commission for Human Rights.,1.0,Strengthening Communities,African Cultural Center Inc.
